Track_ID | 등번호 | 유니폼 | 첫등장프레임
5353 | 3 | AWAY | frame_1203
5363 | 7 | HOME | frame_1206
5377 | 7 | AWAY | frame_1208
5397 | 33 | AWAY | frame_1211
5399 | 3 | AWAY | frame_1211
5401 | 12 | AWAY | frame_1211
5407 | 11 | HOME | frame_1212
5444 | 11 | HOME | frame_1218
5452 | 5 | HOME | frame_1218
5453 | 28 | HOME | frame_1219
5455 | 8 | AWAY | frame_1219
5457 | 16 | AWAY | frame_1219
5459 | 3 | AWAY | frame_1219
5460 | 9 | HOME | frame_1219
5467 | 7 | HOME | frame_1222
5468 | 21 | HOME | frame_1222
5469 | 7 | AWAY | frame_1222
5478 | 10 | AWAY | frame_1223
5479 | 88 | AWAY | frame_1224
5480 | 77 | AWAY | frame_1224
5483 | 6 | AWAY | frame_1225
5487 | 71 | AWAY | frame_1226
5489 | 6 | AWAY | frame_1227
5490 | 70 | HOME | frame_1227
5502 | 23 | AWAY | frame_1229
5508 | 1 | AWAY | frame_1231
5512 | 5 | AWAY | frame_1232
5526 | 2 | HOME | frame_1236
5576 | 9 | AWAY | frame_1243
5584 | 73 | AWAY | frame_1244
5590 | 22 | AWAY | frame_1245
5599 | 7 | AWAY | frame_1249
5603 | 22 | AWAY | frame_1252
5611 | 29 | AWAY | frame_1254
5613 | 73 | AWAY | frame_1254
5614 | 8 | AWAY | frame_1254
5620 | 29 | HOME | frame_1256
5625 | 20 | HOME | frame_1258
5629 | 14 | HOME | frame_1259
5636 | 7 | AWAY | frame_1261
5641 | 11 | HOME | frame_1262
5644 | 9 | AWAY | frame_1263
5658 | 1 | AWAY | frame_1269
5659 | 19 | AWAY | frame_1269
5660 | 2 | AWAY | frame_1269
5666 | 37 | AWAY | frame_1271
5673 | 37 | AWAY | frame_1273
5674 | 5 | AWAY | frame_1274
5675 | 7 | AWAY | frame_1274
5676 | 9 | AWAY | frame_1274
5679 | 2 | AWAY | frame_1276
5692 | 9 | AWAY | frame_1281
5699 | 5 | AWAY | frame_1282
5705 | 9 | AWAY | frame_1283
5716 | 37 | AWAY | frame_1285
5717 | 23 | HOME | frame_1285
5727 | 3 | AWAY | frame_1286
5770 | 37 | HOME | frame_1292
5806 | 18 | HOME | frame_1302
5814 | 7 | HOME | frame_1303
5838 | 3 | HOME | frame_1306
5846 | 23 | AWAY | frame_1307
5847 | 7 | HOME | frame_1307
5862 | 7 | HOME | frame_1309
5880 | 19 | AWAY | frame_1311
5884 | 19 | AWAY | frame_1312
5887 | 9 | AWAY | frame_1312
5892 | 11 | AWAY | frame_1313
5896 | 23 | AWAY | frame_1313
5902 | 27 | AWAY | frame_1314
5912 | 11 | AWAY | frame_1317
5933 | 91 | HOME | frame_1321
5934 | 23 | AWAY | frame_1321
5938 | 2 | AWAY | frame_1322
5939 | 20 | AWAY | frame_1322
5940 | 02 | AWAY | frame_1323
5959 | 37 | HOME | frame_1327
5961 | 50 | AWAY | frame_1327
5967 | 10 | HOME | frame_1328
5978 | 23 | AWAY | frame_1329
5991 | 11 | AWAY | frame_1332
6002 | 11 | AWAY | frame_1333
6023 | 20 | AWAY | frame_1336
6024 | 86 | AWAY | frame_1336
6028 | 1 | HOME | frame_1336
6041 | 93 | AWAY | frame_1339
6063 | 68 | AWAY | frame_1341
6069 | 3 | AWAY | frame_1342
6072 | 12 | AWAY | frame_1342
6087 | 5 | AWAY | frame_1345
6089 | 8 | AWAY | frame_1345
6093 | 9 | AWAY | frame_1348
6099 | 5 | AWAY | frame_1349
6106 | 9 | HOME | frame_1351
6112 | 20 | AWAY | frame_1352
6117 | 4 | AWAY | frame_1353
6120 | 23 | AWAY | frame_1354
6124 | 2 | AWAY | frame_1355
6129 | 66 | AWAY | frame_1358
6130 | 9 | AWAY | frame_1358
6150 | 23 | AWAY | frame_1369
6164 | 7 | HOME | frame_1372
6167 | 2 | HOME | frame_1372
6168 | 7 | AWAY | frame_1372
6191 | 3 | AWAY | frame_1377
6196 | 2 | AWAY | frame_1378
6231 | 7 | HOME | frame_1383
6246 | 23 | AWAY | frame_1385
6251 | 3 | HOME | frame_1386
6253 | 16 | AWAY | frame_1386
6271 | 11 | HOME | frame_1389
6285 | 10 | AWAY | frame_1391
6286 | 11 | AWAY | frame_1391
6291 | 19 | AWAY | frame_1392
6296 | 3 | HOME | frame_1393
6298 | 3 | AWAY | frame_1393
6332 | 9 | HOME | frame_1398
6336 | 7 | HOME | frame_1399
6351 | 16 | AWAY | frame_1402
6363 | 3 | HOME | frame_1405
6370 | 24 | AWAY | frame_1408
6387 | 29 | AWAY | frame_1411
6395 | 22 | HOME | frame_1413
6433 | 4 | AWAY | frame_1421
6436 | 7 | HOME | frame_1422
6459 | 22 | HOME | frame_1427
6465 | 23 | AWAY | frame_1428
6497 | 2 | AWAY | frame_1432
6523 | 37 | AWAY | frame_1437
6560 | 3 | AWAY | frame_1442
6574 | 19 | AWAY | frame_1443
6591 | 5 | HOME | frame_1445
6630 | 5 | AWAY | frame_1451
6631 | 9 | AWAY | frame_1451
6636 | 2 | AWAY | frame_1452
6639 | 3 | HOME | frame_1453
6648 | 23 | HOME | frame_1455
6649 | 3 | AWAY | frame_1455
6657 | 23 | AWAY | frame_1457
6661 | 23 | AWAY | frame_1458
6662 | 3 | AWAY | frame_1458
6665 | 1 | AWAY | frame_1458
6672 | 16 | HOME | frame_1459
6682 | 3 | AWAY | frame_1460
6684 | 23 | AWAY | frame_1461
6687 | 10 | AWAY | frame_1461
6698 | 23 | AWAY | frame_1463
6699 | 1 | AWAY | frame_1463
6701 | 9 | AWAY | frame_1463
6721 | 3 | HOME | frame_1467
6737 | 3 | HOME | frame_1471
6742 | 29 | AWAY | frame_1471
6746 | 1 | AWAY | frame_1472
6759 | 10 | AWAY | frame_1475
6760 | 1 | AWAY | frame_1475
6774 | 9 | AWAY | frame_1477
6791 | 9 | AWAY | frame_1479
6802 | 88 | AWAY | frame_1481
6809 | 23 | AWAY | frame_1483
6820 | 9 | AWAY | frame_1485
6821 | 23 | AWAY | frame_1485
6822 | 60 | HOME | frame_1485
6824 | 9 | AWAY | frame_1487
6828 | 23 | AWAY | frame_1488
6829 | 5 | AWAY | frame_1488
6859 | 11 | AWAY | frame_1495
6867 | 11 | AWAY | frame_1497
6868 | 14 | AWAY | frame_1497
6882 | 1 | AWAY | frame_1501
6883 | 14 | AWAY | frame_1502
6890 | 4 | AWAY | frame_1507
6893 | 4 | AWAY | frame_1508
6897 | 3 | AWAY | frame_1509
6899 | 9 | AWAY | frame_1509
6902 | 3 | AWAY | frame_1509
6909 | 62 | AWAY | frame_1511
6917 | 78 | AWAY | frame_1512
6955 | 28 | HOME | frame_1517
6961 | 9 | AWAY | frame_1518
6981 | 25 | HOME | frame_1521
6984 | 78 | AWAY | frame_1521
6985 | 37 | AWAY | frame_1521
6986 | 16 | AWAY | frame_1521
6995 | 25 | HOME | frame_1523
6999 | 24 | AWAY | frame_1523
7006 | 24 | HOME | frame_1525
7012 | 68 | AWAY | frame_1526
7014 | 27 | AWAY | frame_1526
7015 | 86 | AWAY | frame_1526
7018 | 2 | HOME | frame_1527
7034 | 10 | HOME | frame_1531
7041 | 23 | AWAY | frame_1532
7042 | 1 | AWAY | frame_1532
7048 | 68 | AWAY | frame_1534
7054 | 11 | AWAY | frame_1536
7058 | 22 | AWAY | frame_1538
7059 | 37 | HOME | frame_1538
7067 | 37 | AWAY | frame_1541
7084 | 1 | AWAY | frame_1547
7093 | 8 | AWAY | frame_1548
7095 | 22 | HOME | frame_1548
7139 | 24 | HOME | frame_1554
7156 | 99 | AWAY | frame_1556
7168 | 2 | HOME | frame_1558
7174 | 12 | HOME | frame_1558
7179 | 28 | HOME | frame_1559
7266 | 2 | AWAY | frame_1569
